Game,Zvrst
Power Grid: Northern Europe/United Kingdom & Ireland,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Power Grid: Oracle & Industrial Espionage,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Power Grid: Québec/Baden-Württemberg,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Funkenschlag: Speicherkraftwerk,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Through the Ages: Spanish Promo Card Set,"['Civilization', 'Expansion for Base-game']"
Cywilizacja: Poprzez wieki – Polski dodatek 2,"['Civilization', 'Expansion for Base-game']"
BGO Extended 2.0 expansion (fan expansion for Through the Ages),"['Civilization', 'Expansion for Base-game', 'Fan Expansion', 'Print & Play']"
Cywilizacja: Poprzez wieki – Polski dodatek 1,"['Civilization', 'Expansion for Base-game']"
Through the Ages: A Story of Civilization – Czech expansion,"['Civilization', 'Expansion for Base-game']"
Azul: Special Factories Promo,"['Abstract Strategy', 'Expansion for Base-game', 'Renaissance']"
Deutscher Spielepreis 2018 Goodie Box,['Expansion for Base-game']
Azul: Joker Tiles,"['Abstract Strategy', 'Expansion for Base-game', 'Puzzle']"
Tzolk'in: The Mayan Calendar – Mini Expansion 2,"['Ancient', 'Civilization', 'Economic', 'Expansion for Base-game', 'Farming', 'Mythology']"
Tzolk'in: The Mayan Calendar – Tribes & Prophecies,"['Ancient', 'Civilization', 'Economic', 'Expansion for Base-game', 'Farming', 'Mythology']"
Tzolk'in: The Mayan Calendar – Mini Expansion 1,"['Ancient', 'Civilization', 'Economic', 'Expansion for Base-game', 'Farming', 'Mythology']"
Eclipse:  Anticipation of the Elders,"['Civilization', 'Economic', 'Fighting', 'Science Fiction', 'Space Exploration', 'Wargame']"
Eclipse: Black Hole,"['Civilization', 'Expansion for Base-game', 'Science Fiction']"
Eclipse: Gift of the Elders,"['Civilization', 'Expansion for Base-game', 'Fighting', 'Print & Play', 'Science Fiction', 'Space Exploration']"
Eclipse: Shadow of the Rift,"['Civilization', 'Expansion for Base-game', 'Fighting', 'Space Exploration']"
Eclipse: Nebula,"['Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Eclipse: The Galactic North,"['Civilization', 'Fighting', 'Print & Play', 'Science Fiction', 'Space Exploration']"
Eclipse: Minions of the Solstice,"['Expansion for Base-game', 'Print & Play', 'Science Fiction']"
Eclipse: Ship Pack One,"['Civilization', 'Expansion for Base-game', 'Fighting', 'Miniatures', 'Science Fiction', 'Space Exploration']"
Eclipse: Pulsar,"['Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Eclipse: Rise of the Ancients,"['Civilization', 'Expansion for Base-game', 'Fighting', 'Science Fiction', 'Space Exploration']"
Le Havre: Le Grand Hameau – Tablet with App,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Le Havre: Le Grand Hameau,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Le Havre: Le Grand Hameau – Rattletrap car,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Le Havre: Le Grand Hameau – Wholesale Bakery,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Le Havre: Spielemesse Sonderkarte,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Le Havre Expansion: Essen Promo Cards,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']"
Robinson Crusoe: Adventures on the Cursed Island – Mystery Tales,"['Adventure', 'Expansion for Base-game', 'Horror']"
Robinson Crusoe: Przygoda na przeklętej wyspie – Kafel Wulkanu,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Fighting', 'Novel-based']"
Robinson Crusoe: Adventure in the Neverland Junior,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Novel-based']"
"Robinson Crusoe: Adventures on the Cursed Island – ""Time Travel"" Scenario","['Adventure', 'Expansion for Base-game', 'Exploration', 'Novel-based']"
Robinson Crusoe: Adventures on the Cursed Island – Hunting Adventures,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Fighting', 'Novel-based']"
Robinson Crusoe: Adventures on the Cursed Island – In-Store Event Kit,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Fighting', 'Novel-based']"
Robinson Crusoe: Adventures on the Cursed Island – Mystery Cards I,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Nautical', 'Novel-based']"
Robinson Crusoe: Adventures on the Cursed Island – Shelter Upgrades,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Fighting', 'Novel-based']"
Robinson Crusoe: Adventures on the Cursed Island – Event Cards,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Novel-based']"
Robinson Crusoe: Adventures on the Cursed Island – Herb Garden and Pen,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Fighting', 'Novel-based']"
The Voyages of Marco Polo: The Secret Paths of Marco Polo,"['Dice', 'Economic', 'Expansion for Base-game', 'Medieval', 'Travel']"
The Voyages of Marco Polo: Agents of Venice,"['Dice', 'Economic', 'Expansion for Base-game', 'Medieval', 'Travel']"
The Voyages of Marco Polo: The New Characters,"['Economic', 'Expansion for Base-game', 'Medieval', 'Travel']"
Downfall (Fan expansion for Android: Netrunner),"['Bluffing', 'Card Game', 'Collectible Components', 'Expansion for Base-game', 'Fan Expansion', 'Science Fiction']"
Android: Netrunner – Council of the Crest,"['Bluffing', 'Card Game', 'Collectible Components', 'Expansion for Base-game', 'Science Fiction']"
Android: Netrunner – Down the White Nile,"['Card Game', 'Collectible Components', 'Expansion for Base-game']"
Android: Netrunner – Kampala Ascendent,"['Bluffing', 'Card Game', 'Collectible Components', 'Expansion for Base-game', 'Science Fiction']"
Android: Netrunner – Magnum Opus cards,"['Bluffing', 'Card Game', 'Collectible Components', 'Expansion for Base-game', 'Science Fiction']"
Android: Netrunner – Reign and Reverie,"['Bluffing', 'Card Game', 'Expansion for Base-game', 'Science Fiction']"
Android: Netrunner – The Devil and the Dragon,"['Bluffing', 'Card Game', 'Collectible Components', 'Expansion for Base-game', 'Science Fiction']"
Android: Netrunner – Whispers in Nalubaale,"['Bluffing', 'Card Game', 'Collectible Components', 'Expansion for Base-game', 'Science Fiction']"
Android: Netrunner – Blood and Water,"['Bluffing', 'Card Game', 'Collectible Components', 'Expansion for Base-game', 'Science Fiction']"
Android: Netrunner – Crimson Dust,"['Card Game', 'Collectible Components', 'Expansion for Base-game']"
7 Wonders: Armada,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']"
7 Wonders: Babel,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']"
Collection (fan expansion for 7 Wonders),"['Expansion for Base-game', 'Fan Expansion', 'Print & Play']"
7 Wonders: Wonder Pack,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']"
Empires (fan expansion for 7 Wonders),"['Expansion for Base-game', 'Fan Expansion']"
Game Wonders (fan expansion for 7 Wonders),"['Ancient', 'Card Game', 'Civilization', 'Expansion for Base-game', 'Fan Expansion', 'Print & Play']"
7 Wonders: Cities,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']"
Lost Wonders (fan expansion for 7 Wonders),"['Ancient', 'Card Game', 'Civilization', 'Expansion for Base-game', 'Fan Expansion', 'Print & Play']"
More Wonders... (fan expansion for 7 Wonders),"['Ancient', 'Card Game', 'Civilization', 'Expansion for Base-game', 'Fan Expansion', 'Print & Play']"
Myths (fan expansion for 7 Wonders),"['Ancient', 'Card Game', 'Civilization', 'Expansion for Base-game', 'Fan Expansion', 'Print & Play']"
Brettspiel Adventskalender 2018,['Expansion for Base-game']
Keyflower: Boat 7,"['City Building', 'Economic', 'Expansion for Base-game', 'Medieval', 'Nautical']"
Keyflower: Delivery Man,"['City Building', 'Economic', 'Expansion for Base-game', 'Nautical', 'Renaissance', 'Territory Building']"
Keyflower: Developer,"['City Building', 'Economic', 'Expansion for Base-game', 'Renaissance', 'Territory Building']"
Keyflower: Sorcerer,"['City Building', 'Economic', 'Expansion for Base-game', 'Fantasy', 'Medieval']"
Keyflower: Keymelequin,"['City Building', 'Economic', 'Expansion for Base-game', 'Nautical', 'Territory Building']"
Keyflower: Pig Shelter,"['City Building', 'Economic', 'Expansion for Base-game', 'Medieval']"
Keyflower: Beekeeper,"['City Building', 'Economic', 'Expansion for Base-game', 'Medieval']"
Keyflower: The Merchants,"['City Building', 'Economic', 'Expansion for Base-game', 'Renaissance']"
Keyflower: Trader,"['City Building', 'Economic', 'Expansion for Base-game', 'Medieval']"
Anachrony: Fractures of Time,"['Economic', 'Expansion for Base-game', 'Science Fiction']"
Anachrony: The Sentry Post,"['Economic', 'Expansion for Base-game', 'Science Fiction']"
Anachrony: Doomsday Enhancement Pack,"['Economic', 'Science Fiction']"
Anachrony: Exosuit Commander Pack,"['Economic', 'Expansion for Base-game', 'Science Fiction']"
Race for the Galaxy: Retrofit Cards,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Race for the Galaxy: New Worlds Promo,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Race for the Galaxy: Xeno Invasion,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Patronage (fan expansion to Race for the Galaxy),"['Card Game', 'Expansion for Base-game', 'Fan Expansion', 'Print & Play']"
Race for the Galaxy: Alien Artifacts,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Race for the Galaxy: The Brink of War,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Race for the Galaxy: Rebel vs Imperium,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Race for the Galaxy: The Gathering Storm,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Caylus Expansion: The Jeweller,"['City Building', 'Economic', 'Expansion for Base-game', 'Medieval']"
Fields of Arle: New Travel Destination – Aachen,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Bad Wörishofen,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Baden,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Baltrum,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Kaiserslautern,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Würzburg,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Zürich,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Ahrweiler,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Arle,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Fields of Arle: New Travel Destination – Basel,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing']"
Lords of Waterdeep: Rapid Expansion Promo Card,['Expansion for Base-game']
Lords of Waterdeep: Scoundrels of Skullport,"['City Building', 'Expansion for Base-game', 'Fantasy']"
Lords of Waterdeep: Inevitable Betrayal Promo Card,"['City Building', 'Expansion for Base-game', 'Fantasy']"
Root: The Exiles and Partisans Deck,"['Animals', 'Expansion for Base-game', 'Wargame']"
Root: The Underworld Expansion,"['Animals', 'Expansion for Base-game', 'Fantasy', 'Wargame']"
Root: The Riverfolk Expansion,"['Animals', 'Expansion for Base-game', 'Fantasy', 'Wargame']"
Rising Sun: Stronghold Pack,['Expansion for Base-game']
Raging Sun (fan expansion to Rising Sun),"['Bluffing', 'Expansion for Base-game', 'Fan Expansion', 'Fantasy', 'Miniatures']"
Rising Sun: Daimyo Box,"['Bluffing', 'Expansion for Base-game', 'Fantasy', 'Miniatures', 'Mythology']"
Rising Sun: Dynasty Invasion,"['Bluffing', 'Expansion for Base-game', 'Fantasy', 'Miniatures', 'Mythology']"
Rising Sun: Kami Unbound,"['Bluffing', 'Expansion for Base-game', 'Fantasy', 'Miniatures', 'Mythology']"
Rising Sun: Monster Pack,"['Bluffing', 'Expansion for Base-game', 'Fantasy', 'Miniatures', 'Mythology']"
Twilight Imperium (Third Edition): Shards of the Throne,"['Civilization', 'Expansion for Base-game', 'Negotiation', 'Political', 'Science Fiction']"
Twilight Imperium (Third Edition): Shattered Empire,"['Civilization', 'Expansion for Base-game', 'Negotiation', 'Political', 'Science Fiction']"
Five Tribes: Galbells,"['Arabian', 'Expansion for Base-game', 'Fantasy', 'Mythology']"
Five Tribes: Whims of the Sultan,['Expansion for Base-game']
Five Tribes: The Thieves of Naqala,"['Arabian', 'Expansion for Base-game', 'Fantasy']"
Five Tribes: The Artisans of Naqala,"['Arabian', 'Expansion for Base-game', 'Fantasy', 'Mythology']"
Five Tribes: Wilwit,"['Arabian', 'Expansion for Base-game', 'Mythology']"
Five Tribes: Dhenim,"['Arabian', 'Expansion for Base-game', 'Mythology']"
Eldritch Horror: Masks of Nyarlathotep,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']"
Eldritch Horror: Cities in Ruin,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']"
Eldritch Horror: The Dreamlands,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']"
Eldritch Horror: Signs of Carcosa,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']"
Eldritch Horror: Strange Remnants,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']"
Eldritch Horror: Under the Pyramids,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror']"
Eldritch Horror: Forsaken Lore,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror']"
Eldritch Horror: Mountains of Madness,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']"
The El Grande Expansions,"['Expansion for Base-game', 'Political', 'Renaissance']"
El Grande: Grandissimo,"['Expansion for Base-game', 'Political', 'Renaissance', 'Territory Building']"
El Grande: König & Intrigant – Player's Edition,"['Expansion for Base-game', 'Political', 'Renaissance']"
El Grande: Grossinquisitor und Kolonien,"['Expansion for Base-game', 'Political', 'Renaissance']"
El Grande: König & Intrigant,"['Expansion for Base-game', 'Political', 'Renaissance']"
El Grande: König & Intrigant – Unverkäufliche Sonderkarten,"['Expansion for Base-game', 'Political', 'Renaissance']"
Brettspiel Adventskalender 2018,['Expansion for Base-game']
Codenames: Bonuskaarten 2018,"['Card Game', 'Deduction', 'Expansion for Base-game', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
Codenames: Cartes promo – Univers Geek,"['Card Game', 'Deduction', 'Expansion for Base-game', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
Tajniacy: Obcy Agenci,"['Card Game', 'Deduction', 'Expansion for Base-game', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
Codenames: Bonus Pack – Board Gaming (English),"['Deduction', 'Expansion for Base-game', 'Party Game', 'Word Game']"
Fedőnevek: Magyar bónusz csomag,"['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
Tajniacy: Nowi Agenci,"['Deduction', 'Party Game', 'Word Game']"
Tajniacy: Sami Nieswoi,"['Deduction', 'Expansion for Base-game', 'Party Game', 'Word Game']"
Codenames: Authors & Games,"['Deduction', 'Expansion for Base-game', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
Codenames: Bonus Pack – Board Gaming (German),"['Card Game', 'Deduction', 'Party Game', 'Spies/Secret Agents', 'Word Game']"
Clank! Legacy: Acquisitions Incorporated – Upper Management Pack,"['Expansion for Base-game', 'Fantasy']"
Clank! Expeditions: Gold and Silk,"['Adventure', 'Expansion for Base-game', 'Fantasy']"
Clank!: Expedition Leader,"['Adventure', 'Expansion for Base-game', 'Fantasy']"
Clank!: The Mummy's Curse,"['Adventure', 'Expansion for Base-game', 'Fantasy']"
Clank!: Wand of Time,"['Adventure', 'Expansion for Base-game', 'Fantasy']"
Brettspiel Adventskalender 2017,['Expansion for Base-game']
Clank!: Brawn vs. Boots,"['Expansion for Base-game', 'Fantasy']"
Clank!: Enchanted Dice,"['Adventure', 'Expansion for Base-game', 'Fantasy']"
Clank!: Friendly Watcher,"['Expansion for Base-game', 'Fantasy']"
Clank!: Magic Spectacles,"['Card Game', 'Expansion for Base-game', 'Fantasy', 'Medieval']"
Dominion: Renaissance,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Dismantle Promo Card,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Erweiterung – Basisspiel & Die Intrige,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Nocturne,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Pirate's Life (Fan Expansion to Dominion),"['Card Game', 'Expansion for Base-game', 'Fan Expansion', 'Medieval']"
Dominion: Empires,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Höflinge Promo Card,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Intrigue Update Pack,['Expansion for Base-game']
Dominion: Sauna / Avanto Promo Card,"['Card Game', 'Medieval']"
Dominion: Adventures,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Patchwork: Automa,"['Abstract Strategy', 'Expansion for Base-game', 'Puzzle']"
Patchwork: 5x5 Bonuskarte,"['Abstract Strategy', 'Expansion for Base-game', 'Puzzle']"
Special Buttons (fan-expansion for Patchwork),"['Abstract Strategy', 'Fan Expansion', 'Puzzle']"
The Gallerist: Scoring Expansion,"['Economic', 'Expansion for Base-game']"
The Gallerist: KS Stretch Goal Pack #2,"['Economic', 'Expansion for Base-game']"
Deutscher Spielepreis 2016 Goodie Box,['Expansion for Base-game']
Mombasa: Cooked Books Mini Expansion,"['Economic', 'Expansion for Base-game']"
Mombasa: E1/E2 Company Track,"['Expansion for Base-game', 'Territory Building']"
Battlestar Galactica: The Board Game – Daybreak Expansion,"['Bluffing', 'Deduction', 'Expansion for Base-game', 'Movies / TV / Radio theme', 'Political']"
Battlestar Galactica: The Board Game – Exodus Expansion,"['Bluffing', 'Deduction', 'Expansion for Base-game', 'Movies / TV / Radio theme', 'Political']"
Battlestar Galactica: The Board Game – Pegasus Expansion,"['Bluffing', 'Deduction', 'Expansion for Base-game', 'Movies / TV / Radio theme', 'Political']"
Battlestar Galactica: Official Variant Rules,"['Bluffing', 'Deduction', 'Expansion for Base-game', 'Movies / TV / Radio theme', 'Negotiation']"
Roll for the Galaxy: Rivalry,"['Civilization', 'Dice', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Roll for the Galaxy: Bountiful Gaming Grid Promo Tile,"['Civilization', 'Dice', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Roll for the Galaxy: Terraforming Colony/Diversified Economy Promo Tile,"['Civilization', 'Dice', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Roll for the Galaxy: Ambition,"['Civilization', 'Dice', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']"
Troyes: The Ladies of Troyes,"['Dice', 'Expansion for Base-game', 'Medieval']"
Troyes: Bonus Cards,"['Dice', 'Expansion for Base-game', 'Medieval']"
Sherlock Holmes Consulting Detective: Murder Behind Closed Doors,"['Deduction', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Détective Conseil: L'Homme Sans Visage,"['Deduction', 'Expansion for Base-game', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Détective Conseil: Les Masques Africains,"['Deduction', 'Expansion for Base-game', 'Murder/Mystery', 'Novel-based']"
L'affaire Diavolo (Fan expansion for Sherlock Holmes Détective Conseil),"['Deduction', 'Fan Expansion', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Consulente Investigativo: Il Mistero dell'Impiccato,"['Deduction', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Détective Conseil: La Piste Tordue,"['Deduction', 'Expansion for Base-game', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Détective Conseil: La rançon du diable,"['Deduction', 'Expansion for Base-game', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Détective Conseil: Octobre 1891,"['Deduction', 'Expansion for Base-game', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Détective Conseil: Oliver Stone,"['Deduction', 'Expansion for Base-game', 'Murder/Mystery', 'Novel-based']"
Sherlock Holmes Consulting Detective: Adventures by Gaslight,"['Deduction', 'Expansion for Base-game', 'Murder/Mystery', 'Novel-based']"
Antic (fan expansion for T.I.M.E Stories),"['Expansion for Base-game', 'Exploration', 'Fan Expansion', 'Print & Play', 'Puzzle']"
T.I.M.E Stories: Madame,"['Adventure', 'Expansion for Base-game', 'Fantasy', 'Puzzle', 'Renaissance']"
T.I.M.E. Stories Revolution: The Hadal Project,"['Adventure', 'Expansion for Base-game', 'Exploration', 'Fan Expansion', 'Print & Play', 'Science Fiction']"
La Cavale des Daltons (fan expansion for T.I.M.E Stories),"['Expansion for Base-game', 'Exploration', 'Fan Expansion']"
City of Souls (fan expansion for T.I.M.E Stories),"['Expansion for Base-game', 'Exploration', 'Fan Expansion', 'Print & Play', 'Puzzle']"
Dilemma (fan expansion for T.I.M.E Stories),"['Expansion for Base-game', 'Exploration', 'Fan Expansion', 'Print & Play', 'Puzzle']"
Dreamland (fan expansion for T.I.M.E Stories),"['Expansion for Base-game', 'Exploration', 'Fan Expansion', 'Print & Play', 'Puzzle']"
Geologists (fan expansion for T.I.M.E Stories),"['Expansion for Base-game', 'Exploration', 'Fan Expansion', 'Print & Play', 'Puzzle']"
Hora fugit facta manent (fan expansion for T.I.M.E. Stories),"['Adventure', 'Expansion for Base-game', 'Fan Expansion', 'Puzzle', 'Science Fiction']"
La manufacture Lilienfeld (fan expansion for T.I.M.E Stories),"['Adventure', 'Expansion for Base-game', 'Fan Expansion', 'Science Fiction', 'World War I']"
Russian Railroads: Juri Dreigleisky,"['Expansion for Base-game', 'Industry / Manufacturing', 'Trains']"
Russian Railroads: American Railroads,"['Expansion for Base-game', 'Industry / Manufacturing', 'Trains']"
Russian Railroads: German Railroads,"['Expansion for Base-game', 'Industry / Manufacturing', 'Trains']"
Russian Railroads: Mini-Expansion,"['Expansion for Base-game', 'Industry / Manufacturing', 'Trains']"
Euphrat & Tigris: Die Zikkurat,"['Ancient', 'Civilization', 'Expansion for Base-game', 'Territory Building']"
Star Wars: X-Wing Miniatures Game – Saw's Renegades Expansion Pack,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Expansion for Base-game', 'Miniatures']"
Star Wars: X-Wing Miniatures Game – TIE Reaper Expansion Pack,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Expansion for Base-game', 'Miniatures']"
Star Wars: X-Wing Miniatures Game – Alpha-Class Star Wing Expansion Pack,['Expansion for Base-game']
Star Wars: X-Wing Miniatures Game – Auzituck Gunship Expansion Pack,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Expansion for Base-game', 'Miniatures']"
Star Wars: X-Wing Miniatures Game – C-ROC Cruiser Expansion Pack,"['Collectible Components', 'Expansion for Base-game', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction']"
Star Wars: X-Wing Miniatures Game – Guns for Hire Expansion Pack,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Expansion for Base-game', 'Miniatures']"
Star Wars: X-Wing Miniatures Game – M12-L Kimogila Fighter Expansion Pack,['Expansion for Base-game']
Star Wars: X-Wing Miniatures Game – Phantom II Expansion Pack,['Expansion for Base-game']
Star Wars: X-Wing Miniatures Game – Resistance Bomber Expansion Pack,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Expansion for Base-game', 'Miniatures']"
Star Wars: X-Wing Miniatures Game – Scurrg H-6 Bomber Expansion Pack,"['Aviation / Flight', 'Bluffing', 'Collectible Components', 'Expansion for Base-game', 'Miniatures']"
Pandemic: Gen Con 2016 Promos – Z-Force Team Member/Game Convention,"['Expansion for Base-game', 'Medical']"
Pandemic: Survival Promos – Crisis Mitigator/Relocation Specialist,"['Expansion for Base-game', 'Medical']"
Pandemic: Promo Roles,['Medical']
Pandemic: State of Emergency,"['Environmental', 'Expansion for Base-game', 'Medical']"
Pandemic: In the Lab,"['Environmental', 'Expansion for Base-game', 'Medical', 'Science Fiction']"
Pandemic: On the Brink,"['Environmental', 'Expansion for Base-game', 'Medical', 'Science Fiction']"
"Pandemie: Uitbreiding ""De Generalist""","['Expansion for Base-game', 'Medical', 'Science Fiction']"
Dominion: Renaissance,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Dismantle Promo Card,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Erweiterung – Basisspiel & Die Intrige,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Nocturne,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Pirate's Life (Fan Expansion to Dominion),"['Card Game', 'Expansion for Base-game', 'Fan Expansion', 'Medieval']"
Animals expansion (mini fan expansion for Dominion),"['Fan Expansion', 'Medieval']"
Dominion: Empires,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Höflinge Promo Card,"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Intrigue (Second Edition),"['Card Game', 'Expansion for Base-game', 'Medieval']"
Dominion: Intrigue Update Pack,['Expansion for Base-game']
Dead of Winter: Giggles,"['Dice', 'Expansion for Base-game', 'Zombies']"
Dead of Winter: A Crossroads Game – BGG Crossroads Promo,"['Adventure', 'Bluffing', 'Expansion for Base-game', 'Horror', 'Zombies']"
Dead of Winter: KD James,"['Dice', 'Expansion for Base-game', 'Zombies']"
Dead of Winter: Meryl Wolfe,"['Dice', 'Expansion for Base-game', 'Zombies']"
Dead of Winter: Ruckus Burley,"['Dice', 'Expansion for Base-game', 'Zombies']"
Dead of Winter: Warring Colonies,"['Bluffing', 'Expansion for Base-game', 'Horror', 'Zombies']"
Dead of Winter: Rich Sommer,"['Dice', 'Expansion for Base-game', 'Zombies']"
Dead of Winter: Rodney Smith,"['Dice', 'Expansion for Base-game', 'Zombies']"
Dead of Winter: Andrea Smith,"['Expansion for Base-game', 'Zombies']"
Dead of Winter: Dice Tower Crossroads Promo,[]
Kemet: Seth,"['Ancient', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Miniatures']"
Kemet: Dice Tower Promo 2016,"['Ancient', 'Expansion for Base-game', 'Fighting', 'Miniatures', 'Mythology']"
Kemet: New Power Tiles,"['Ancient', 'Expansion for Base-game', 'Fighting', 'Miniatures', 'Mythology']"
Kemet: Skills and Black Power Tile For Ta-Seti,"['Ancient', 'Expansion for Base-game', 'Fighting', 'Miniatures', 'Mythology']"
Kemet: Ta-Seti,['Expansion for Base-game']
C3K: Creatures Crossover Cyclades/Kemet,"['Ancient', 'Civilization', 'Expansion for Base-game', 'Fighting', 'Miniatures', 'Mythology']"
Agricola: Corbarius Deck,"['Animals', 'Expansion for Base-game', 'Farming']"
Agricola: Bubulcus Deck,"['Expansion for Base-game', 'Farming']"
Agricola: Changelings,"['Animals', 'Economic', 'Expansion for Base-game', 'Farming']"
Agricola: Farmers of the Moor,"['Animals', 'Economic', 'Expansion for Base-game', 'Farming']"
