Game,Designers,Artists,Publisher
Dominion (Second Edition),['Donald X. Vaccarino'],"['Matthias Catrein', 'Julien Delval', 'Tomasz Jedruszek']",999 Games
Star Trek: Fleet Captains,"['Mike Elliott', 'Bryan Kinsella', 'Ethan Pasternack']",[],WizKids
Steampunk Rally,['Orin Bishop'],"['Lina Cossette', 'David Forest']",Roxley
Eminent Domain,['Seth Jaffee'],"['Gavan Brown', 'Eric J. Carter', 'Christine Conrad', 'Jeremy Deveraturda']",Tasty Minstrel Games
1989: Dawn of Freedom,"['Jason Matthews', 'Ted Torgerson']","['Donal Hegarty', 'Rodger B. MacGowan', 'Leland Myrick', 'Mark Simonitch']",GMT Games
Blood Bowl (2016 edition),"['James M. Hewitt', 'Andy Hoare', 'Jervis Johnson']","['Wayne England', 'David Gallagher', 'Pete Knifton', 'Richard Wright']",Games Workshop Ltd.
Tokaido,['Antoine Bauza'],['Xavier Gueniffey Durin'],Funforge
Summoner Wars: Alliances Master Set,['Colby Dauch'],['David Richards'],Cube Factory of Ideas
London (Second Edition),['Martin Wallace'],"['Mike Atkinson', 'Natalia Borek', 'Przemysław Sobiecki']",Osprey Games
Medici,['Reiner Knizia'],"['David Cherry', 'Vincent Dutrait', 'Dominique Ehrhard', 'Franz Vohwinkel']",AMIGO
Shipyard,['Vladimír Suchý'],['Milan Vavroň'],Czech Games Edition
Las Vegas,['Rüdiger Dorn'],"['Harald Lieske', 'Markus Schmuck', 'Mia Steingräber']",alea
The Downfall of Pompeii,['Klaus-Jürgen Wrede'],"['Oliver Freudenreich', 'Guido Hoffmann']",AMIGO
Love Letter: Batman,['Seiji Kanai'],[],Alderac Entertainment Group
Space Hulk,['Richard Halliwell'],"['Tony Cottrell', 'Wayne England', 'David Gallagher', 'Jes Goodwin']",Games Workshop Ltd.
Exit: The Game – The Pharaoh's Tomb,"['Inka Brand', 'Markus Brand']","['Silvia Christoph', 'Franz Vohwinkel']",KOSMOS
Zombicide Season 2: Prison Outbreak,"['Raphaël Guiton', 'Jean-Baptiste Lullien', 'Nicolas Raoult']","['Nicolas Fructus', 'Édouard Guiton', 'Mathieu Harlaut']",Asmodee
Thunderstone Quest,"['Mike Elliott', 'Bryan Reese', 'Mark Wootton']","['Jason Engle', 'Gunship Revolution', 'Matt Paquette', 'David Su']",Alderac Entertainment Group
Tajemnicze Domostwo,"['Oleksandr Nevskiy', 'Oleg Sidorenko']","['Mateusz Bielski', 'Igor Burlakov', 'Mariusz Gandzel', 'Oleksandr Nevskiy']",Portal Games
Middle-Earth Quest,"['Corey Konieczka', 'Christian T. Petersen', 'Tim Uren']","[""Tim Arney-O'Neil"", 'Ryan Barger', 'Anna Christenson', 'Trevor Cook']",Fantasy Flight Games
Washington's War,['Mark Herman'],"['Charles Kibler', 'Harald Lieske', 'Rodger B. MacGowan', 'Mark Simonitch', 'John Trumbull']",GMT Games
Arcadia Quest: Inferno,"['Thiago Aranha', 'Guilherme Goulart', 'Eric M. Lang', 'Fred Perret']",[],CMON Limited
Cuba Libre,"['Jeff Grossman', 'Volko Ruhnke']","['Xavier Carrascosa', 'Rodger B. MacGowan', 'Chechu Nieto']",Banana Games
Among the Stars,['Vangelis Bagiartakis'],"['Antonis Papantoniou', 'Odysseas Stamoglou']",Artipia Games
Spyfall,['Alexandr Ushan'],"['Sergey Dulin', 'Uildrim']",Hobby World
Yspahan,['Sébastien Pauchon'],"['Arnaud Demaegd', 'Mike Doyle (I)']",Ystari Games
Kingdom Builder,['Donald X. Vaccarino'],['Oliver Schlemmer'],Queen Games
K2,['Adam Kałuża'],['Jarek Nocoń'],Rebel
Stuffed Fables,['Jerry Hawthorne'],"['Kristen Pauline', 'Tregis']",Plaid Hat Games
Elder Sign,"['Richard Launius', 'Kevin Wilson']",['Dallas Mehlhoff'],Fantasy Flight Games
Cryptid,"['Hal Duncan', 'Ruth Veevers']",['Kwanchai Moriya'],Do it games
Tash-Kalar: Arena of Legends,['Vlaada Chvátil'],['David Cochard'],Czech Games Edition
World Without End,"['Michael Rieneck', 'Stefan Stadler']",['Michael Menzel'],999 Games
Marvel Dice Masters: Avengers vs. X-Men,"['Mike Elliott', 'Eric M. Lang']",[],WizKids
Love Letter Premium,"['Seiji Kanai', 'John Zinser']","['Kali Fitzgerald', 'Andrew Hepworth', 'Jeff Himmelman', 'Scott Nicely']",Alderac Entertainment Group
Empires: Age of Discovery,['Glenn Drover'],['Cyril Van Der Haegen'],Eagle-Gryphon Games
Vasco da Gama,['Paolo Mori'],['Mariano Iannelli'],What's Your Game?
BANG! The Dice Game,"['Michael Palm', 'Lukas Zach']",['Riccardo Pieruccini'],dV Giochi
