Igra,Oblikovalec
Legendary: A Marvel Deck Building Game,Devin Low
Vinhos Deluxe Edition,Vital Lacerda
Viticulture,Jamey Stegmaier
Viticulture,Alan Stone
Ticket to Ride,Alan R. Moon
Targi,Andreas Steiger
Sekigahara: The Unification of Japan,Matt Calkins
This War of Mine: The Board Game,Michał Oracz
This War of Mine: The Board Game,Jakub Wiśniewski
Xia: Legends of a Drift System,Cody Miller
Endeavor: Age of Sail,Carl de Visser
Endeavor: Age of Sail,Jarratt Gray
Ra,Reiner Knizia
Shogun,Dirk Henn
Magic: The Gathering,Richard Garfield
Galaxy Trucker,Vlaada Chvátil
Cyclades,Bruno Cathala
Cyclades,Ludovic Maublanc
Carcassonne,Klaus-Jürgen Wrede
Trickerion: Legends of Illusion,Richard Amann
Trickerion: Legends of Illusion,Viktor Peter
Star Realms: Colony Wars,Robert Dougherty
Star Realms: Colony Wars,Darwin Kastle
Imperial Settlers,Maciej Obszański
Imperial Settlers,Ignacy Trzewiczek
YINSH,Kris Burm
Charterstone,Jamey Stegmaier
Decrypto,Thomas Dagenais-Lespérance
Sushi Go Party!,Phil Walker-Harding
Lewis & Clark,Cédrick Chaboussit
Imperial,Mac Gerdts
Glory to Rome,Ed Carter
Glory to Rome,Carl Chudyk
Power Grid Deluxe: Europe/North America,Friedemann Friese
Dungeon Petz,Vlaada Chvátil
Deception: Murder in Hong Kong,Tobey Ho
Age of Empires III: The Age of Discovery,Glenn Drover
Isle of Skye: From Chieftain to King,Andreas Pelikan
Isle of Skye: From Chieftain to King,Alexander Pfister
1960: The Making of the President,Christian Leonhard
1960: The Making of the President,Jason Matthews
Bora Bora,Stefan Feld
1830: Railways & Robber Barons,Francis Tresham
Hero Realms,Robert Dougherty
Hero Realms,Darwin Kastle
Hannibal: Rome vs. Carthage,Mark Simonitch
Summoner Wars: Master Set,Colby Dauch
BattleLore (Second Edition),Richard Borg
BattleLore (Second Edition),Robert A. Kouba
Runewars,Corey Konieczka
Seasons,Régis Bonnessée
Space Alert,Vlaada Chvátil
Secret Hitler,Mike Boxleiter
Secret Hitler,Tommy Maranges
Secret Hitler,Max Temkin
Kanban: Driver's Edition,Vital Lacerda
Exit: The Game – The Abandoned Cabin,Inka Brand
Exit: The Game – The Abandoned Cabin,Markus Brand
Everdell,James A. Wilson
Dead of Winter: The Long Night,Jonathan Gilmour
Dead of Winter: The Long Night,Isaac Vega
Dixit: Odyssey,Jean-Louis Roubira
Alien Frontiers,Tory Niemann
Welcome To...,Benoit Turpin
Mage Wars Arena,Bryan Pope
Mage Wars Arena,Benjamin Pope
Navegador,Mac Gerdts
Samurai,Reiner Knizia
Imperial 2030,Mac Gerdts
Fury of Dracula (third/fourth edition),Frank Brooks
Fury of Dracula (third/fourth edition),Stephen Hand
Fury of Dracula (third/fourth edition),Kevin Wilson
Mysterium,Oleksandr Nevskiy
Mysterium,Oleg Sidorenko
Above and Below,Ryan Laukat
Rajas of the Ganges,Inka Brand
Rajas of the Ganges,Markus Brand
Indonesia,Jeroen Doumen
Indonesia,Joris Wiersinga
That's Pretty Clever,Wolfgang Warsch
Antiquity,Jeroen Doumen
Antiquity,Joris Wiersinga
Battle Line,Reiner Knizia
Kingdomino,Bruno Cathala
Burgle Bros.,Tim Fowers
Here I Stand,Ed Beach
Sid Meier's Civilization: The Board Game,Kevin Wilson
Coimbra,Flaminia Brasini
Coimbra,Virginio Gigli
Rococo,Matthias Cramer
Rococo,Stefan Malz
Rococo,Louis Malz
Detective: A Modern Crime Board Game,Przemysław Rymer
Detective: A Modern Crime Board Game,Ignacy Trzewiczek
Detective: A Modern Crime Board Game,Jakub Łapot
Onitama,Shimpei Sato
Dungeon Lords,Vlaada Chvátil
The Resistance,Don Eskridge
The Manhattan Project: Energy Empire,Tom Jolly
The Manhattan Project: Energy Empire,Luke Laurie
Small World,Philippe Keyaerts
Star Wars: Armada,James Kniffen
Star Wars: Armada,Christian T. Petersen
Letters from Whitechapel,Gabriele Mari
Letters from Whitechapel,Gianluca Santopietro
Agricola: All Creatures Big and Small,Uwe Rosenberg
Flamme Rouge,Asger Harding Granerud
Hive,John Yianni
Modern Art,Reiner Knizia
Mission: Red Planet (Second Edition),Bruno Cathala
Mission: Red Planet (Second Edition),Bruno Faidutti
