Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost
At the Gates of Loyang,1,4,60,120,2009,10
Ticket to Ride: Märklin,2,5,30,60,2006,8
Nippon,2,4,60,120,2015,12
The Quest for El Dorado,2,4,30,60,2017,10
Blood Bowl: Team Manager – The Card Game,2,4,90,90,2011,14
Nemesis,1,5,90,180,2018,12
Bruxelles 1893,2,5,50,125,2013,13
The Quacks of Quedlinburg,2,4,45,45,2018,10
Macao,2,4,50,100,2009,12
Century: Golem Edition,2,5,30,45,2017,8
Arkham Horror,1,8,120,360,2005,12
Aeon's End: War Eternal,1,4,60,60,2017,14
Risk Legacy,3,5,60,60,2011,13
Arboretum,2,4,30,30,2015,8
Fresco,2,4,60,60,2010,10
Harry Potter: Hogwarts Battle,2,4,30,60,2016,11
A Few Acres of Snow,2,2,60,120,2011,14
For Sale,3,6,30,30,1997,10
Lancaster,2,5,60,60,2011,10
Maria,2,3,210,210,2009,14
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,1,8,60,120,2017,10
51st State: Master Set,1,4,60,90,2016,14
Flash Point: Fire Rescue,2,6,45,45,2011,10
San Juan (Second Edition),2,4,45,60,2014,10
Glen More,2,5,45,70,2010,10
Quadropolis,2,4,30,60,2016,8
BattleLore,2,2,60,60,2006,10
Millennium Blades,2,5,80,120,2016,12
Lord of the Rings: The Confrontation,2,2,30,30,2005,14
Sheriff of Nottingham,3,5,60,60,2014,14
1775: Rebellion,2,4,60,120,2013,10
Heroscape Master Set: Rise of the Valkyrie,2,4,90,90,2004,8
Firefly: The Game,1,5,120,240,2013,13
Altiplano,2,5,60,120,2017,12
Blood Bowl (Third Edition),2,2,180,180,1994,12
Heaven & Ale,2,4,60,90,2017,12
Kingsburg,2,5,90,90,2007,13
Pandemic: The Cure,2,5,30,30,2014,8
Amun-Re,3,5,90,90,2003,12
Shadows of Brimstone: City of the Ancients,1,4,120,120,2014,12
Mansions of Madness,2,5,120,180,2011,13
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2,2,30,45,2015,14
Forbidden Desert,2,5,45,45,2013,10
Amerigo,2,4,90,90,2013,10
Innovation,2,4,45,60,2010,12
Descent: Journeys in the Dark,2,5,120,240,2005,12
Bärenpark,2,4,30,45,2017,8
London (first edition),2,4,90,90,2010,13
Lost Cities,2,2,30,30,1999,10
Stockpile,2,5,45,45,2015,13
