Igra,Dodatki
Through the Ages: A Story of Civilization,"['Through the Ages: Spanish Promo Card Set', 'Cywilizacja: Poprzez wieki – Polski dodatek 2', 'BGO Extended 2.0 expansion (fan expansion for Through the Ages)', 'Cywilizacja: Poprzez wieki – Polski dodatek 1', 'Through the Ages: A Story of Civilization – Czech expansion']"
Azul,"['Azul: Special Factories Promo', 'Deutscher Spielepreis 2018 Goodie Box', 'Azul: Joker Tiles']"
Tzolk'in: The Mayan Calendar,"[""Tzolk'in: The Mayan Calendar – Mini Expansion 2"", ""Tzolk'in: The Mayan Calendar – Tribes & Prophecies"", ""Tzolk'in: The Mayan Calendar – Mini Expansion 1""]"
Eclipse,"['Eclipse:  Anticipation of the Elders', 'Eclipse: Black Hole', 'Eclipse: Gift of the Elders', 'Eclipse: Shadow of the Rift', 'Eclipse: Nebula', 'Eclipse: The Galactic North', 'Eclipse: Minions of the Solstice', 'Eclipse: Ship Pack One', 'Eclipse: Pulsar', 'Eclipse: Rise of the Ancients']"
Le Havre,"['Le Havre: Le Grand Hameau – Tablet with App', 'Le Havre: Le Grand Hameau', 'Le Havre: Le Grand Hameau – Rattletrap car', 'Le Havre: Le Grand Hameau – Wholesale Bakery', 'Le Havre: Spielemesse Sonderkarte', 'Le Havre Expansion: Essen Promo Cards']"
Robinson Crusoe: Adventures on the Cursed Island,"['Robinson Crusoe: Adventures on the Cursed Island – Mystery Tales', 'Robinson Crusoe: Przygoda na przeklętej wyspie – Kafel Wulkanu', 'Robinson Crusoe: Adventure in the Neverland Junior', 'Robinson Crusoe: Adventures on the Cursed Island – ""Time Travel"" Scenario', 'Robinson Crusoe: Adventures on the Cursed Island – Hunting Adventures', 'Robinson Crusoe: Adventures on the Cursed Island – In-Store Event Kit', 'Robinson Crusoe: Adventures on the Cursed Island – Mystery Cards I', 'Robinson Crusoe: Adventures on the Cursed Island – Shelter Upgrades', 'Robinson Crusoe: Adventures on the Cursed Island – Event Cards', 'Robinson Crusoe: Adventures on the Cursed Island – Herb Garden and Pen']"
The Voyages of Marco Polo,"['The Voyages of Marco Polo: The Secret Paths of Marco Polo', 'The Voyages of Marco Polo: Agents of Venice', 'The Voyages of Marco Polo: The New Characters']"
Clans of Caledonia,[]
Android: Netrunner,"['Downfall (Fan expansion for Android: Netrunner)', 'Android: Netrunner – Council of the Crest', 'Android: Netrunner – Down the White Nile', 'Android: Netrunner – Kampala Ascendent', 'Android: Netrunner – Magnum Opus cards', 'Android: Netrunner – Reign and Reverie', 'Android: Netrunner – The Devil and the Dragon', 'Android: Netrunner – Whispers in Nalubaale', 'Android: Netrunner – Blood and Water', 'Android: Netrunner – Crimson Dust']"
7 Wonders,"['7 Wonders: Armada', '7 Wonders: Babel', 'Collection (fan expansion for 7 Wonders)', '7 Wonders: Wonder Pack', 'Empires (fan expansion for 7 Wonders)', 'Game Wonders (fan expansion for 7 Wonders)', '7 Wonders: Cities', 'Lost Wonders (fan expansion for 7 Wonders)', 'More Wonders... (fan expansion for 7 Wonders)', 'Myths (fan expansion for 7 Wonders)']"
