Game,Designers,Artists,Publisher
Terraforming Mars: Hellas & Elysium,['Jacob Fryxelius'],"['Isaac Fryxelius', 'Jacob Fryxelius']",FryxGames
Terraforming Mars: Penguins Promo Card,['Jacob Fryxelius'],['Isaac Fryxelius'],(Unknown)
Twilight Struggle: Turn Zero and Promo Packs,"['Ananda Gupta', 'Jason Matthews']",[],GMT Games
Twilight Struggle: Regime of the Colonels Promo Card,[],[],(Unknown)
Twilight Struggle: Promo Deck,"['Ananda Gupta', 'Jason Matthews']",[],GMT Games
Twilight Struggle: Turn Zero,"['Ananda Gupta', 'Jason Matthews']",['Chechu Nieto'],GMT Games
"Twilight Struggle: ""Pakt Bagdadzki"" and ""Stan Wojenny"" Promo Cards","['Ananda Gupta', 'Jason Matthews']",['(Uncredited)'],Asterion Press
"Twilight Struggle: ""Referendum NATO"" Promo Card","['Ananda Gupta', 'Jason Matthews']",[],Asterion Press
"Twilight Struggle: ""Anni di Piombo"" Promo Card","['Ananda Gupta', 'Jason Matthews']",['(Uncredited)'],Asterion Press
"Twilight Struggle: ""Gladio"" Promo Card","['Ananda Gupta', 'Jason Matthews']",[],Asterion Press
"Twilight Struggle: ""Финляндизация"" Promo Card","['Ananda Gupta', 'Jason Matthews']",[],GaGa Games
Star Wars: Rebellion – Rise of the Empire,['Corey Konieczka'],"['Justin Adams', 'Borja Pindado Arribas', 'Tiziano Baracchi', 'Ryan Barger']",Asmodee
Scythe: Modular Board,['Jamey Stegmaier'],['Jakub Rozalski'],Stonemaier Games
Scythe: Bonus Promo Pack – 6 Promo Encounter Cards numbers 37-42,['Jamey Stegmaier'],['Jakub Rozalski'],Stonemaier Games
Scythe: Encounters,['Jamey Stegmaier'],['Jakub Rozalski'],Stonemaier Games
Scythe: The Rise of Fenris,"['Ryan Lopez DeVinaspre', 'Jamey Stegmaier']",['Jakub Rozalski'],Stonemaier Games
Scythe: Promo Pack #11 – Encounter Card 39,['Jamey Stegmaier'],['Jakub Rozalski'],Feuerland Spiele
Scythe: Promo Pack #12 – Encounter Card 40,[],['Jakub Rozalski'],Feuerland Spiele
Scythe: Promo Pack #13 – Encounter Card 41,['Jamey Stegmaier'],['Jakub Rozalski'],Ghenos Games
Scythe: Promo Pack #14 – Encounter Card 42,['Jamey Stegmaier'],['Jakub Rozalski'],Feuerland Spiele
Scythe: The Wind Gambit,"['Kai Starck', 'Jamey Stegmaier']","['Jakub Rozalski', 'Jamey Stegmaier']",Stonemaier Games
Scythe: Invaders from Afar,['Jamey Stegmaier'],"['Jakub Rozalski', 'Jamey Stegmaier']",Stonemaier Games
Brettspiel Adventskalender 2018,[],['Doris Matthäus'],Frosted Games
Great Western Trail: At the Poker Table,['Alexander Pfister'],['Andreas Resch'],eggertspiele
Great Western Trail: Rails to the North,['Alexander Pfister'],['Andreas Resch'],eggertspiele
Deutscher Spielepreis 2017 Goodie Box,['(Uncredited)'],[],Frosted Games
Great Western Trail: Promo Station Master Tiles,['Alexander Pfister'],['Andreas Resch'],999 Games
Great Western Trail: The Eleventh Building Tile,['Alexander Pfister'],['Andreas Resch'],eggertspiele
Terra Mystica: Erweiterungsbogen,[],['Dennis Lohausen'],Feuerland Spiele
Terra Mystica: Fire & Ice,"['Jens Drögemüller', 'Helge Ostertag']",['Dennis Lohausen'],Feuerland Spiele
Terra Mystica: 4 Town Tiles,"['Jens Drögemüller', 'Helge Ostertag']",['Dennis Lohausen'],Feuerland Spiele
Terra Mystica: Bonus Card Shipping Value,"['Jens Drögemüller', 'Helge Ostertag']","['(Uncredited)', 'Dennis Lohausen']",Feuerland Spiele
War of the Ring: Warriors of Middle-earth,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']",['John Howe'],Ares Games
War of the Ring: Warriors of Middle-earth – Tidings Not Burdens Mini-Expansion,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']",['Fabio Maiorana'],Ares Games
War of the Ring: Lords of Middle-earth,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']","['Jon Hodgson', 'John Howe', 'Fabio Maiorana']",Ares Games
War of the Ring: Lords of Middle-earth – Treebeard Mini-Expansion,"['Roberto Di Meglio', 'Marco Maggi', 'Francesco Nepitello']",['Fabio Maiorana'],Ares Games
War of the Ring: Scenario – The Breaking of the Fellowship,"['Kristofer Bengtsson', 'Roberto Di Meglio']","['John Howe', 'Fabio Maiorana']",Ares Games
Brettspiel Adventskalender 2018,[],['Doris Matthäus'],Frosted Games
The Castles of Burgundy: 10th Expansion – Solo,"['Stefan Feld', 'Matthias Nagy']","['Julien Delval', 'Harald Lieske']",alea
Brettspiel Adventskalender 2017,[],['Dennis Lohausen'],Frosted Games
The Castles of Burgundy: 8th Expansion – Trade Routes,['Stefan Feld'],[],alea
The Castles of Burgundy: 9th Expansion – The Team Game,"['Stefan Feld', 'Matthias Nagy']",[],alea
The Castles of Burgundy: 7th Expansion – German Board Game Championship Board 2016,['Stefan Feld'],['Harald Lieske'],(Self-Published)
Brettspiel Adventskalender 2015,['Matthias Nagy'],['Klemens Franz'],Frosted Games
The Castles of Burgundy: 6th Expansion – The Cloisters,['Stefan Feld'],[],alea
The Castles of Burgundy: 5th Expansion – Pleasure Garden,['Stefan Feld'],"['Julien Delval', 'Harald Lieske']",alea
Stadt Land Spielt Limitierter Sonderdruck Tag des Gesellschaftsspiels,[],[],ABACUSSPIELE
Spirit Island: Jagged Earth,['R. Eric Reuss'],[],Greater Than Games (Fabled Nexus)
Spirit Island: Promo Pack 2,['R. Eric Reuss'],[],Greater Than Games (Fabled Nexus)
Spirit Island: Unter der Insel schlummernde Schlange Promo,['R. Eric Reuss'],['Jorge Ramos'],Greater Than Games (Fabled Nexus)
